id	trueLen	effectiveLen	percentEffective
Gorai.001G000100	299	299	1
Gorai.001G000200	505	166	0.328712871287129
Gorai.001G000300	587	183	0.31175468483816
Gorai.001G000400	1443	1330	0.921690921690922
Gorai.001G000500	983	842	0.856561546286877
Gorai.001G000600	675	0	0
Gorai.001G000700	935	500	0.53475935828877
Gorai.001G000800	1784	1769	0.991591928251121
Gorai.001G000900	1551	1425	0.918762088974855
Gorai.001G001000	1974	1974	1
Gorai.001G001100	2591	2558	0.987263604785797
Gorai.001G001200	2440	1921	0.787295081967213
Gorai.001G001300	2275	2105	0.925274725274725
Gorai.001G001400	1869	1869	1
Gorai.001G001500	1636	1636	1
Gorai.001G001600	2414	2361	0.97804473902237
Gorai.001G001700	621	122	0.19645732689211
Gorai.001G001800	1622	1606	0.990135635018496
Gorai.001G001900	1893	1893	1
Gorai.001G002000	2575	2571	0.998446601941748
Gorai.001G002100	1933	1689	0.873771339886187
Gorai.001G002200	1511	1511	1
Gorai.001G002300	9038	8865	0.980858597034742
Gorai.001G002400	1315	1315	1
Gorai.001G002500	1371	1334	0.973012399708242
Gorai.001G002600	1892	1892	1
Gorai.001G002700	3129	3041	0.971875998721636
Gorai.001G002800	1758	1731	0.984641638225256
Gorai.001G002900	3057	2317	0.757932613673536
Gorai.001G003000	2943	2769	0.940876656472987
Gorai.001G003100	4194	3500	0.834525512637101
Gorai.001G003200	2367	2269	0.958597380650613
Gorai.001G003300	2132	2132	1
Gorai.001G003400	496	496	1
Gorai.001G003500	2044	2044	1
Gorai.001G003600	2311	2191	0.948074426655128
Gorai.001G003700	2036	2036	1
Gorai.001G003800	1186	1186	1
Gorai.001G003900	1768	1758	0.994343891402715
Gorai.001G004000	2980	2689	0.902348993288591
Gorai.001G004100	1773	1773	1
Gorai.001G004200	1672	1626	0.972488038277512
Gorai.001G004300	1755	1668	0.95042735042735
Gorai.001G004400	1633	1633	1
Gorai.001G004500	2100	1670	0.795238095238095
Gorai.001G004600	554	554	1
Gorai.001G004700	773	773	1
Gorai.001G004800	1302	1302	1
Gorai.001G004900	694	694	1
Gorai.001G005000	1167	1167	1
Gorai.001G005100	803	803	1
Gorai.001G005200	2688	2647	0.984747023809524
Gorai.001G005300	1090	1017	0.93302752293578
Gorai.001G005400	1650	1397	0.846666666666667
Gorai.001G005500	1881	1572	0.835725677830941
Gorai.001G005600	2246	2246	1
Gorai.001G005700	2563	2563	1
Gorai.001G005800	1320	1286	0.974242424242424
Gorai.001G005900	2902	2860	0.9855272226051
Gorai.001G006000	2535	2506	0.988560157790927
Gorai.001G006100	2524	2508	0.993660855784469
Gorai.001G006200	2724	2691	0.987885462555066
Gorai.001G006300	817	817	1
Gorai.001G006400	2609	2597	0.995400536604063
